,Class,Aspect,Period,Points
374,Control,Learning,Period 1,4
375,Control,Learning,Period 2,4
376,Control,Learning,Period 2,5
377,Control,Learning,Period 2,5
378,Control,Learning,Period 2,5
379,Control,Learning,Period 2,5
380,Control,Learning,Period 2,4
381,Control,Learning,Period 2,4
382,Control,Learning,Period 2,3
383,Control,Learning,Period 2,4
384,Control,Learning,Period 2,4
385,Control,Learning,Period 2,5
386,Control,Learning,Period 2,4
387,Control,Learning,Period 2,5
388,Control,Learning,Period 2,5
389,Control,Learning,Period 2,4
390,Control,Learning,Period 3,5
391,Control,Learning,Period 3,3
392,Control,Learning,Period 3,3
393,Control,Learning,Period 3,3
394,Control,Learning,Period 3,3
395,Control,Learning,Period 3,4
396,Control,Learning,Period 3,4
397,Control,Learning,Period 3,3
398,Control,Learning,Period 3,4
399,Control,Learning,Period 3,2
400,Control,Learning,Period 3,5
401,Control,Learning,Period 3,4
402,Control,Learning,Period 3,5
403,Control,Learning,Period 3,2
404,Control,Learning,Period 3,4
405,Control,Learning,Period 4,5
406,Control,Learning,Period 4,3
407,Control,Learning,Period 4,3
408,Control,Learning,Period 4,3
409,Control,Learning,Period 4,1
410,Control,Learning,Period 4,4
411,Control,Learning,Period 4,2
412,Control,Learning,Period 4,3
413,Control,Learning,Period 4,1
414,Control,Learning,Period 4,2
415,Control,Learning,Period 4,5
416,Control,Learning,Period 4,1
417,Control,Learning,Period 4,4
418,Control,Learning,Period 4,2
419,Control,Learning,Period 4,4
420,Control,Ownership,Period 1,6
421,Control,Ownership,Period 1,6
422,Control,Ownership,Period 1,5
423,Control,Ownership,Period 1,6
424,Control,Ownership,Period 1,5
425,Control,Ownership,Period 1,6
426,Control,Ownership,Period 1,6
427,Control,Ownership,Period 1,6
428,Control,Ownership,Period 1,5
429,Control,Ownership,Period 1,5
430,Control,Ownership,Period 1,6
431,Control,Ownership,Period 1,4
432,Control,Ownership,Period 1,6
433,Control,Ownership,Period 1,5
434,Control,Ownership,Period 1,6
435,Control,Ownership,Period 2,4
436,Control,Ownership,Period 2,4
437,Control,Ownership,Period 2,5
438,Control,Ownership,Period 2,5
439,Control,Ownership,Period 2,5
440,Control,Ownership,Period 2,5
441,Control,Ownership,Period 2,5
442,Control,Ownership,Period 2,4
443,Control,Ownership,Period 2,5
444,Control,Ownership,Period 2,6
445,Control,Ownership,Period 2,6
446,Control,Ownership,Period 2,4
447,Control,Ownership,Period 2,5
448,Control,Ownership,Period 2,6
449,Control,Ownership,Period 2,6
450,Control,Ownership,Period 3,4
451,Control,Ownership,Period 3,4
452,Control,Ownership,Period 3,5
453,Control,Ownership,Period 3,4
454,Control,Ownership,Period 3,5
455,Control,Ownership,Period 3,4
456,Control,Ownership,Period 3,5
457,Control,Ownership,Period 3,4
458,Control,Ownership,Period 3,5
459,Control,Ownership,Period 3,6
460,Control,Ownership,Period 3,5
461,Control,Ownership,Period 3,4
462,Control,Ownership,Period 3,6
463,Control,Ownership,Period 3,6
464,Control,Ownership,Period 3,6
465,Control,Ownership,Period 4,2
466,Control,Ownership,Period 4,3
467,Control,Ownership,Period 4,4
468,Control,Ownership,Period 4,2
469,Control,Ownership,Period 4,3
470,Control,Ownership,Period 4,3
471,Control,Ownership,Period 4,4
472,Control,Ownership,Period 4,2
473,Control,Ownership,Period 4,3
474,Control,Ownership,Period 4,2
475,Control,Ownership,Period 4,2
476,Control,Ownership,Period 4,4
477,Control,Ownership,Period 4,5
478,Control,Ownership,Period 4,6
479,Control,Ownership,Period 4,6
480,Control,Long-term Usage,Period 1,3
481,Control,Long-term Usage,Period 1,2
482,Control,Long-term Usage,Period 1,6
483,Control,Long-term Usage,Period 1,1
484,Control,Long-term Usage,Period 1,3
485,Control,Long-term Usage,Period 1,3
486,Control,Long-term Usage,Period 1,3
487,Control,Long-term Usage,Period 1,3
488,Control,Long-term Usage,Period 1,3
489,Control,Long-term Usage,Period 1,3
490,Control,Long-term Usage,Period 1,3
491,Control,Long-term Usage,Period 1,3
492,Control,Long-term Usage,Period 1,3
493,Control,Long-term Usage,Period 1,3
494,Control,Long-term Usage,Period 1,3
495,Control,Long-term Usage,Period 2,3
496,Control,Long-term Usage,Period 2,2
497,Control,Long-term Usage,Period 2,6
498,Control,Long-term Usage,Period 2,1
499,Control,Long-term Usage,Period 2,3
500,Control,Long-term Usage,Period 2,1
501,Control,Long-term Usage,Period 2,3
502,Control,Long-term Usage,Period 2,2
503,Control,Long-term Usage,Period 2,3
504,Control,Long-term Usage,Period 2,3
505,Control,Long-term Usage,Period 2,3
506,Control,Long-term Usage,Period 2,3
507,Control,Long-term Usage,Period 2,3
508,Control,Long-term Usage,Period 2,3
509,Control,Long-term Usage,Period 2,3
510,Control,Long-term Usage,Period 3,2
511,Control,Long-term Usage,Period 3,2
512,Control,Long-term Usage,Period 3,2
513,Control,Long-term Usage,Period 3,1
514,Control,Long-term Usage,Period 3,3
515,Control,Long-term Usage,Period 3,1
516,Control,Long-term Usage,Period 3,3
517,Control,Long-term Usage,Period 3,2
518,Control,Long-term Usage,Period 3,3
519,Control,Long-term Usage,Period 3,1
520,Control,Long-term Usage,Period 3,1
521,Control,Long-term Usage,Period 3,3
522,Control,Long-term Usage,Period 3,3
523,Control,Long-term Usage,Period 3,3
524,Control,Long-term Usage,Period 3,3
525,Control,Long-term Usage,Period 4,1
526,Control,Long-term Usage,Period 4,2
527,Control,Long-term Usage,Period 4,2
528,Control,Long-term Usage,Period 4,1
529,Control,Long-term Usage,Period 4,3
530,Control,Long-term Usage,Period 4,1
531,Control,Long-term Usage,Period 4,3
532,Control,Long-term Usage,Period 4,2
533,Control,Long-term Usage,Period 4,3
534,Control,Long-term Usage,Period 4,1
535,Control,Long-term Usage,Period 4,1
536,Control,Long-term Usage,Period 4,3
537,Control,Long-term Usage,Period 4,1
538,Control,Long-term Usage,Period 4,3
539,Control,Long-term Usage,Period 4,1
540,Control,Over-reliance,Period 1,3
541,Control,Over-reliance,Period 1,3
542,Control,Over-reliance,Period 1,3
543,Control,Over-reliance,Period 1,3
544,Control,Over-reliance,Period 1,3
545,Control,Over-reliance,Period 1,3
546,Control,Over-reliance,Period 1,3
547,Control,Over-reliance,Period 1,4
548,Control,Over-reliance,Period 1,5
549,Control,Over-reliance,Period 1,2
550,Control,Over-reliance,Period 1,1
551,Control,Over-reliance,Period 1,3
552,Control,Over-reliance,Period 1,3
553,Control,Over-reliance,Period 1,3
554,Control,Over-reliance,Period 1,3
555,Control,Over-reliance,Period 2,4
556,Control,Over-reliance,Period 2,4
557,Control,Over-reliance,Period 2,3
558,Control,Over-reliance,Period 2,2
559,Control,Over-reliance,Period 2,4
560,Control,Over-reliance,Period 2,3
561,Control,Over-reliance,Period 2,3
562,Control,Over-reliance,Period 2,3
563,Control,Over-reliance,Period 2,2
564,Control,Over-reliance,Period 2,3
565,Control,Over-reliance,Period 2,4
566,Control,Over-reliance,Period 2,3
567,Control,Over-reliance,Period 2,3
568,Control,Over-reliance,Period 2,3
569,Control,Over-reliance,Period 2,3
570,Control,Over-reliance,Period 3,3
571,Control,Over-reliance,Period 3,3
572,Control,Over-reliance,Period 3,2
573,Control,Over-reliance,Period 3,3
574,Control,Over-reliance,Period 3,4
575,Control,Over-reliance,Period 3,3
